Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
123,Spencer Hawes\hawessp01,C,21,SAC,72,1904,13.8,0.507,0.131,0.159,8.6,17.7,13.1,13.2,0.9,3.2,15.5,19.6,,0.5,1.6,2.1,0.054,,-1.2,0.1,-1.2,0.4
124,Carmelo Anthony\anthoca01,SF,25,DEN,69,2634,22.2,0.548,0.125,0.407,6.7,13.1,9.9,15.9,1.7,0.9,10.6,33.4,,5.6,2.4,7.9,0.145,,3.5,-1.2,2.3,2.9
125,Tyreke Evans\evansty01,SG,20,SAC,72,2677,18.2,0.529,0.121,0.399,2.8,13.6,8.1,26.1,2.1,0.7,13.6,26.2,,3.3,2.1,5.4,0.097,,1.3,0,1.3,2.2
126,Grant Hill*\hillgr01,SF,37,PHO,81,2430,14,0.561,0.114,0.357,3.6,16.3,10.3,11.2,1.2,1,11.7,16.8,,3.7,1.8,5.5,0.109,,0.3,0.3,0.6,1.6
127,Sam Young\youngsa01,SF,24,MEM,80,1321,13,0.518,0.113,0.352,6.8,11,8.9,6.2,1.3,1.2,14.1,22.1,,0.6,0.7,1.2,0.044,,-1.5,-1.7,-3.1,-0.4
128,Michael Beasley\beaslmi01,PF,21,MIA,78,2328,16.1,0.505,0.098,0.231,6.3,18.8,12.6,7.8,1.8,1.7,10.3,25.8,,0.8,3.8,4.6,0.095,,-0.9,0.1,-0.8,0.7
129,Russell Westbrook\westbru01,PG,21,OKC,82,2813,17.8,0.491,0.09,0.364,6,10.3,8.2,38.6,2,0.9,16.6,25.7,,2.7,3.4,6.1,0.105,,1.7,-0.5,1.2,2.3
130,Andre Miller\millean02,PG,33,POR,82,2500,18.1,0.53,0.088,0.432,4,9.2,6.6,30.3,2,0.3,13.8,23.8,,4.6,2.4,7,0.134,,1.8,0,1.8,2.4
131,Rajon Rondo\rondora01,PG,23,BOS,81,2963,19.1,0.54,0.088,0.312,4.3,10.5,7.5,43.7,3.3,0.3,19.3,20.2,,4.9,4.7,9.6,0.156,,2.2,1.4,3.6,4.2
132,Luol Deng\denglu01,SF,24,CHI,70,2651,16.1,0.531,0.082,0.325,5.6,15.8,10.7,9.1,1.3,1.8,10.4,21.9,,2.5,3.4,5.9,0.106,,0.7,0.3,1,2
133,Dirk Nowitzki\nowitdi01,PF,31,DAL,81,3039,22.9,0.578,0.081,0.392,3.1,20.1,11.7,13,1.2,2,7.8,28.8,,8.4,3.9,12.3,0.194,,3.7,0.5,4.2,4.7
134,Rodney Stuckey\stuckro01,PG,23,DET,73,2499,15.6,0.479,0.071,0.324,3.1,11.1,6.8,24.7,2.2,0.4,11.4,26.4,,1.4,1.3,2.7,0.052,,0,-0.4,-0.4,1
135,Carlos Arroyo\arroyca01,PG,30,MIA,72,1585,12.3,0.529,0.067,0.24,1.9,7.7,4.8,22.2,1.2,0.3,11.5,13.9,,2.2,1.5,3.7,0.113,,-1.5,0.1,-1.5,0.2
136,Corey Maggette\maggeco01,PF,30,GSW,70,2081,20.3,0.615,0.056,0.622,4.9,15.2,10,13.2,1.2,0.1,13,26.7,,5.6,0.7,6.3,0.144,,2.1,-1.8,0.3,1.2
137,Dahntay Jones\jonesda02,SF,29,IND,76,1892,10.8,0.527,0.051,0.413,2.7,10.5,6.6,12.9,1,1.5,14.9,20.1,,0.1,1.6,1.8,0.045,,-3.3,-0.4,-3.6,-0.8
138,Luc Mbah a Moute\mbahalu01,PF,23,MIL,73,1866,11.8,0.53,0.046,0.36,9.9,14.6,12.2,6.5,1.7,1.6,14.1,12.1,,1.8,3,4.7,0.122,,-1.8,1.5,-0.3,0.8
139,Al Thornton\thornal01,SF,26,TOT,75,2079,11.8,0.523,0.046,0.312,6.4,10,8.2,7.1,1.1,1.3,11.7,19,,1.2,1,2.2,0.05,,-2.1,-1,-3.1,-0.6
140,Andray Blatche\blatcan01,PF,23,WAS,81,2256,17.6,0.519,0.044,0.234,7.9,18.2,13,13.8,2,2.4,14.2,25.8,,0.8,2.6,3.4,0.073,,0.2,0.4,0.6,1.5
141,Derrick Rose\rosede01,PG,21,CHI,78,2871,18.6,0.532,0.044,0.246,2.6,8.7,5.7,30.3,1,0.7,12.5,27.2,,3.5,2.5,6,0.1,,2.6,-0.9,1.7,2.7
142,Zach Randolph\randoza01,PF,28,MEM,81,3051,21.2,0.546,0.039,0.348,12.6,23.8,18.2,8.2,1.3,0.8,10.1,24.6,,7,2.7,9.7,0.153,,2.7,-1.4,1.3,2.5
143,DeMar DeRozan\derozde01,SG,20,TOR,77,1664,12.5,0.554,0.031,0.379,4.8,10.9,7.9,4.9,1.3,0.8,9.4,18.1,,2,0.3,2.3,0.066,,-1.5,-1.3,-2.8,-0.3
144,DeMarre Carroll\carrode01,SF,23,MEM,71,795,8.5,0.426,0.027,0.239,7.8,14.3,11,5.9,1.8,0.9,8.9,14.8,,-0.1,0.6,0.5,0.031,,-3.8,-0.4,-4.2,-0.4
145,Ramon Sessions\sessira01,PG,23,MIN,82,1732,12.9,0.513,0.027,0.42,3.7,10.3,6.9,23.3,1.6,0.2,17.2,19.9,,0.5,0.6,1.1,0.031,,-1.8,-1.2,-3,-0.4
146,Shawn Marion\mariosh01,SF,31,DAL,75,2385,14.7,0.535,0.024,0.179,7.7,15.2,11.5,7.2,1.5,1.9,10.6,18.1,,2.1,2.8,5,0.1,,-0.5,0.1,-0.5,0.9
147,David West\westda01,PF,29,NOH,81,2949,18.9,0.56,0.022,0.279,6.4,17.9,12,13.7,1.3,1.5,11.2,24,,5.2,2.3,7.5,0.122,,1.2,-0.3,0.8,2.1
148,Chris Bosh\boshch01,C,25,TOR,70,2526,25,0.592,0.019,0.509,9.9,25.2,17.7,11.5,0.9,2.1,10.7,28.7,,7.9,1.7,9.6,0.182,,4.8,-1.2,3.6,3.6
149,Zaza Pachulia\pachuza01,C,25,ATL,78,1089,13.1,0.539,0.016,0.581,12.4,19,15.7,5.6,1.8,2.2,15.8,15.5,,1.2,1.5,2.7,0.121,,-2.7,0.2,-2.5,-0.1
150,LaMarcus Aldridge\aldrila01,PF,24,POR,78,2922,18.2,0.535,0.014,0.26,8.1,18.6,13.3,9.9,1.3,1.3,7.4,22.9,,5.5,3.3,8.8,0.145,,1.4,-0.2,1.2,2.3
151,Marcus Camby\cambyma01,PF-C,35,TOT,74,2314,17.9,0.501,0.014,0.244,12.7,31.9,22.2,12.3,2.2,4.8,14.1,12.8,,2.5,4.3,6.8,0.142,,0.7,2.6,3.3,3.1
152,Nick Collison\collini01,C,29,OKC,75,1557,13.1,0.616,0.013,0.346,11.5,16.7,14.2,3.7,1.2,2.3,15,12.1,,2.6,2.2,4.7,0.146,,-1.9,0.8,-1.2,0.3
153,Drew Gooden\goodedr01,C-PF,28,TOT,70,1755,16.9,0.547,0.013,0.359,13.7,21.9,17.8,4.4,1.2,2.5,13.4,21,,2.3,2.2,4.4,0.121,,-1.2,-1,-2.1,-0.1
154,Marcin Gortat\gortama01,C,25,ORL,81,1088,13.9,0.563,0.013,0.33,11.5,24.3,18.1,2.4,0.8,4.8,15,13,,1.2,2.2,3.4,0.151,,-1.7,1.7,0.1,0.6
155,Paul Millsap\millspa01,PF,24,UTA,82,2277,16.7,0.573,0.013,0.369,9.9,18.9,14.5,8.9,1.4,3.5,12.2,18.7,,3.7,3.5,7.2,0.151,,-0.4,0.8,0.4,1.4
156,Craig Smith\smithcr01,PF,26,LAC,75,1232,16.9,0.599,0.013,0.524,9.1,18,13.5,11.8,1.4,1.5,15.3,21.2,,2,1,3,0.117,,-0.9,0.1,-0.8,0.4
157,Jason Thompson\thompja02,C,23,SAC,75,2357,14.6,0.518,0.013,0.353,10.8,20.3,15.5,8.3,0.9,2.3,13.3,19.6,,1.9,2,4,0.081,,-1.6,-0.8,-2.4,-0.2
158,Hakim Warrick\warriha01,PF,27,TOT,76,1557,15.6,0.547,0.013,0.498,9,13.9,11.4,5.6,0.8,0.9,10.7,21.8,,2.2,1.8,4,0.124,,-0.4,-0.9,-1.3,0.3
159,Chris Andersen\anderch01,PF,31,DEN,76,1695,15.8,0.631,0.012,0.94,10.1,22.7,16.4,2.8,1.3,6.3,14.3,10.8,,3.2,2.7,5.9,0.166,,-0.1,1.9,1.8,1.6
160,Amir Johnson\johnsam01,PF,22,TOR,82,1453,16.7,0.639,0.012,0.446,12.9,19.1,16.1,5,1.6,3.5,13.6,14.5,,3.4,1.1,4.5,0.15,,-0.6,0,-0.6,0.5
161,Darius Songaila\songada01,C,31,NOH,75,1410,11.6,0.522,0.012,0.152,4.8,14.7,9.7,7.9,2.3,0.8,13.5,19.5,,0,1.2,1.3,0.044,,-3.9,0.2,-3.7,-0.6
162,Anderson Varejão\varejan01,PF,27,CLE,76,2166,15.8,0.598,0.011,0.375,10.9,20.4,15.9,6.1,1.7,2.4,11,13.1,,4.3,3.8,8.1,0.179,,0.1,1.2,1.3,1.8
163,Tim Duncan*\duncati01,C,33,SAS,78,2438,24.7,0.56,0.01,0.346,10.8,26.8,18.9,17.8,1,3.5,10.1,26,,6.4,4.5,10.9,0.215,,4.4,1.8,6.1,5
164,Nenad Krstić\krstine01,C,26,OKC,76,1741,13.7,0.527,0.009,0.189,9.1,16,12.6,4.9,0.9,1.9,8.7,17.1,,2,2.2,4.2,0.116,,-1.5,-0.2,-1.8,0.1
165,Roy Hibbert\hibbero01,C,23,IND,81,2035,16.2,0.537,0.008,0.286,9.4,15.5,12.4,13.5,0.7,4.6,14.1,22.2,,1.6,2.5,4.1,0.098,,-1.5,0.6,-0.9,0.6
166,Dwight Howard\howardw01,C,24,ORL,82,2843,24,0.63,0.008,0.978,12,31.3,22,8.7,1.4,6,18.7,23.9,,6.1,7.1,13.2,0.223,,1.6,2.8,4.4,4.6
167,DeAndre Jordan\jordade01,C,21,LAC,70,1137,12.7,0.571,0.008,0.538,12.4,23.6,17.9,2.9,0.7,4,20.3,14.7,,0.2,1.2,1.5,0.061,,-3.5,-0.3,-3.8,-0.5
168,Josh Smith\smithjo03,PF,24,ATL,81,2871,21,0.536,0.007,0.422,9,19.8,14.3,19,2.4,4.5,14.3,22.2,,4.2,5.1,9.3,0.155,,2.4,2.7,5.1,5.1
169,Kevin Garnett*\garneke01,PF,33,BOS,69,2060,19.4,0.569,0.006,0.286,4.8,24.8,15.1,15.7,1.7,2.2,10.4,22.1,,3.6,3.8,7.3,0.171,,1.5,1.9,3.5,2.9
170,Pau Gasol\gasolpa01,C,29,LAL,65,2403,22.9,0.593,0.006,0.429,11.4,22.7,17.1,15,0.8,3.5,12.5,21.4,,6.8,4.2,11,0.22,,3.7,1.3,4.9,4.2
171,David Lee\leeda02,C,26,NYK,81,3019,22.2,0.584,0.006,0.262,8.4,27.6,17.9,17.5,1.4,1,11.9,23.8,,7.4,2.9,10.3,0.163,,2.6,0,2.5,3.5
172,Kendrick Perkins\perkike01,C,25,BOS,78,2154,15,0.613,0.006,0.536,9.1,24.4,16.9,6,0.6,4.8,20.4,17.6,,1.4,3.8,5.2,0.117,,-1.7,1,-0.7,0.7
173,Serge Ibaka\ibakase01,PF,20,OKC,73,1323,15.2,0.562,0.005,0.249,12.3,21.9,17.2,1.2,1,5.5,14.2,16.2,,1.3,2.4,3.7,0.134,,-2.4,0.9,-1.5,0.2
174,Chris Kaman\kamanch01,C,27,LAC,76,2608,16.5,0.527,0.005,0.255,8.1,23.2,15.6,8.6,0.7,2.7,14.3,27.1,,0,2.4,2.4,0.044,,-1.4,-1.1,-2.5,-0.3
175,Antonio McDyess\mcdyean01,PF,35,SAS,77,1617,12.2,0.492,0.005,0.133,11,21.8,16.5,7.7,1.4,1.4,14.8,15.1,,0.6,2.6,3.2,0.094,,-1.8,0.8,-1,0.4
176,Luis Scola\scolalu01,PF,29,HOU,82,2671,17.2,0.55,0.005,0.245,7.2,23.6,15.1,11.1,1.2,0.7,11.9,22.7,,3.4,3,6.3,0.114,,0,-0.3,-0.3,1.1
177,Amar'e Stoudemire\stoudam01,PF,27,PHO,82,2838,22.6,0.615,0.005,0.5,9.7,18.9,14.5,4.8,0.9,2.1,12.1,27.3,,8.2,2.5,10.7,0.181,,2.1,-1.1,1,2.2
178,Lou Amundson\amundlo01,PF,27,PHO,79,1168,14.4,0.562,0.004,0.446,13.1,19.9,16.7,3.7,1,4.4,14.7,14.6,,1.5,1.3,2.9,0.118,,-1.5,0.4,-1.1,0.3
179,DeJuan Blair\blairde01,PF,20,SAS,82,1494,17.7,0.564,0.004,0.325,16,25.1,20.6,7.1,1.8,1.9,16.5,20.8,,1.8,2.8,4.6,0.147,,-1,0.4,-0.7,0.5
180,Al Jefferson\jeffeal01,C,25,MIN,76,2463,19,0.524,0.004,0.236,8,24.2,16,10,1.3,3,9.9,24.3,,2.3,2.3,4.6,0.09,,0.7,-0.4,0.4,1.5
181,Nenê\hilarne01,C,27,DEN,82,2755,18.9,0.631,0.003,0.58,7,19.1,13.1,11.6,2.1,2.2,12.2,16.5,,7.1,3.7,10.8,0.188,,1.6,1.6,3.2,3.6
182,Ryan Hollins\holliry01,C,25,MIN,73,1223,11,0.6,0.003,0.521,7.1,11.9,9.5,6.4,0.8,2.3,20.3,16.6,,0.8,0.5,1.2,0.048,,-3.9,-0.7,-4.6,-0.8
183,Juwan Howard\howarju01,C,36,POR,73,1632,10,0.538,0.003,0.187,8.1,17.3,12.7,5.9,0.9,0.5,15.1,13.9,,1.1,1.6,2.6,0.077,,-3,-0.4,-3.5,-0.6
184,Carl Landry\landrca01,PF,26,TOT,80,2469,19,0.6,0.003,0.459,8.5,13.4,10.9,4.6,1.1,1.9,10.8,22.5,,5.8,1.9,7.7,0.15,,1.2,-0.4,0.8,1.7
185,Jermaine O'Neal\onealje01,C,31,MIA,70,1991,17.9,0.563,0.003,0.302,7.4,21.2,14.3,8.4,0.7,3.9,12.9,22.9,,2.4,3.2,5.6,0.135,,-0.5,0.4,-0.1,1
186,Andrew Bogut\bogutan01,C,25,MIL,69,2229,20.7,0.54,0.002,0.26,10.1,26.4,17.9,10.3,0.9,6.2,11.4,23.3,,2.6,4.8,7.5,0.161,,0.8,2.2,3.1,2.8
187,Marc Gasol\gasolma01,C,25,MEM,69,2469,19.3,0.617,0.002,0.578,9.8,20.5,15.1,10.2,1.4,3.4,14.2,16.9,,5.9,2.5,8.4,0.164,,1.8,1.1,2.8,3
188,Brendan Haywood\haywobr01,C,30,TOT,77,2355,16.1,0.588,0.002,0.499,13.5,21.5,17.5,2.8,0.6,5.1,14.2,13.5,,3.7,3,6.7,0.137,,-0.3,0.2,-0.1,1.1
189,J.J. Hickson\hicksjj01,PF,21,CLE,81,1691,15.2,0.58,0.002,0.312,8.2,19.5,14.1,3.9,1.1,1.8,13.4,18.9,,1.8,2.5,4.3,0.123,,-1,-0.4,-1.4,0.3
190,Brook Lopez\lopezbr01,C,21,NJN,82,3027,20.1,0.57,0.002,0.451,9.9,17.5,13.5,11.8,1,3.4,13.1,23.6,,5.5,2.4,7.9,0.125,,1.6,-0.5,1.2,2.5
191,Jason Maxiell\maxieja01,C,26,DET,76,1550,14,0.531,0.002,0.373,11.8,20,15.7,4.1,1.3,2.1,12.3,16.4,,1.5,1.1,2.6,0.081,,-1.4,-1.3,-2.7,-0.3
192,Elton Brand\brandel01,PF,30,PHI,76,2297,15.7,0.518,0.001,0.272,9,14.7,11.8,7.9,1.9,2.7,12,21.7,,1.6,1.9,3.5,0.073,,-1.1,-0.7,-1.8,0.1
193,Al Horford\horfoal01,C,23,ATL,81,2845,19.4,0.594,0.001,0.319,9.6,23.3,16.4,10.4,1.1,2.4,11.2,17.6,,6.9,3.9,10.9,0.183,,1.8,0.5,2.3,3.1
194,Joel Anthony\anthojo01,C,27,MIA,80,1322,10.2,0.546,0,0.579,11,11.1,11.1,1.3,0.8,6.7,18.4,8.7,,1,2,3.1,0.111,,-3.4,1.7,-1.7,0.1
195,Carlos Boozer\boozeca01,PF,28,UTA,78,2673,21.3,0.599,0,0.35,8.2,29.9,19.4,15.8,1.6,1.1,14.3,24.8,,5.3,4.6,9.9,0.178,,2.4,1.1,3.4,3.7
196,Samuel Dalembert\dalemsa01,C,28,PHI,82,2124,16.8,0.573,0,0.254,13.1,30.7,21.8,4.7,1,5.6,17.5,15.1,,2.3,3,5.2,0.118,,-1.2,0.3,-0.9,0.6
197,Taj Gibson\gibsota01,PF,24,CHI,82,2204,13.8,0.521,0,0.278,11.6,19.2,15.4,5,1.2,3.6,13.9,16.7,,1.2,3.5,4.7,0.103,,-2.4,0.5,-2,0
198,Udonis Haslem\hasleud01,PF,29,MIA,78,2177,14.6,0.538,0,0.305,9.1,24.8,17,3.9,0.7,0.9,9.5,17.1,,2.8,3.2,6,0.132,,-0.8,-0.8,-1.7,0.2
199,Chuck Hayes\hayesch01,C,26,HOU,82,1773,11.7,0.5,0,0.201,9.4,21.1,15,11.4,2.1,1.8,17.1,10.8,,1.2,2.4,3.6,0.098,,-2.2,2,-0.2,0.8
200,Emeka Okafor\okafoem01,C,27,NOH,82,2370,16.5,0.547,0,0.418,12.2,24.7,18.4,3.5,1.2,4.1,12.5,17.1,,2.6,2.8,5.5,0.111,,-0.9,-0.3,-1.2,0.4
201,Kurt Thomas\thomaku01,C,37,MIL,70,1049,9.9,0.489,0,0.072,8.7,23.5,15.8,6.7,1.3,3.4,18.3,11.3,,0,2,2.1,0.095,,-4.4,2.1,-2.2,-0.1
