Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
29,Maurice Evans\evansma01,SF,31,ATL,79,1317,12.2,0.539,0.43,0.155,5.2,8.5,6.8,5.5,1.4,1,4.5,15.4,,2.1,1.1,3.1,0.114,,-0.4,-0.6,-0.9,0.4
30,Brandon Rush\rushbr01,SG,24,IND,82,2491,9.6,0.522,0.43,0.127,1.8,13.5,7.6,6.9,1.1,1.9,11.1,14.8,,0,2.5,2.5,0.047,,-1.5,0.1,-1.3,0.4
31,James Harden\hardeja01,SG,20,OKC,76,1738,14,0.551,0.429,0.415,3.2,12.7,8.1,12.3,2.4,0.9,13.4,20.4,,2,2.5,4.5,0.124,,-0.7,1.2,0.5,1.1
32,Hedo Türkoğlu\turkohe01,SF,30,TOR,74,2272,13.3,0.54,0.429,0.335,2.2,15.2,8.9,19.5,1.2,1.1,13.9,18.1,,2.6,0.8,3.4,0.071,,0.7,-0.4,0.4,1.4
33,Arron Afflalo\afflaar01,SG,24,DEN,82,2221,10.9,0.576,0.426,0.168,3.1,9.9,6.5,9.3,1,1,10.5,14,,2.8,1.4,4.3,0.092,,-0.2,-0.2,-0.4,0.9
34,Andrés Nocioni\nocioan01,SF,30,SAC,75,1477,11.1,0.504,0.424,0.169,2.5,14.9,8.6,8,1.1,1.3,9.6,20.9,,0.4,1,1.3,0.044,,-1.3,-1.1,-2.4,-0.1
35,Chauncey Billups\billuch01,PG,33,DEN,73,2490,20.2,0.601,0.423,0.532,1.2,9.3,5.3,26.1,1.7,0.3,13,24.3,,7.7,1.7,9.5,0.182,,4.5,-0.8,3.7,3.6
36,Ray Allen*\allenra02,SG,34,BOS,80,2819,15.2,0.601,0.41,0.26,2,8.8,5.5,12.3,1.2,0.7,10.6,20.2,,5.1,2.9,7.9,0.135,,1.5,-0.3,1.2,2.3
37,Troy Murphy\murphtr01,PF,29,IND,72,2344,18,0.585,0.41,0.237,6,28.5,17.2,10.6,1.5,1,10,18.8,,4.1,3.7,7.8,0.159,,2.4,0.6,2.9,2.9
38,D.J. Augustin\augusdj01,PG,22,CHA,80,1472,11.2,0.516,0.409,0.301,0.9,6.9,4,21.7,1.6,0.3,13.1,17.9,,1.1,1.7,2.8,0.092,,-1.5,0.3,-1.1,0.3
39,Eric Gordon\gordoer01,SG,21,LAC,62,2229,14.1,0.571,0.409,0.381,1.3,7.1,4.2,13.8,1.6,0.5,13.6,21.5,,2.3,0.9,3.2,0.069,,0.1,-1,-0.9,0.6
40,Trevor Ariza\arizatr01,SF,24,HOU,72,2629,13.3,0.488,0.407,0.228,3.3,14.7,8.8,16.7,2.4,1.1,12.8,21.2,,0.1,3.1,3.2,0.058,,-0.4,0.9,0.5,1.7
41,Derek Fisher\fishede01,PG,35,LAL,82,2227,9.3,0.499,0.401,0.237,1.3,7.2,4.3,12.9,2.1,0.3,11.2,14,,1.2,2.7,3.9,0.085,,-2.9,1.3,-1.7,0.2
42,Jason Richardson\richaja01,SG,29,PHO,79,2485,16.6,0.574,0.401,0.184,3.9,13.9,9.2,8.8,1.3,0.9,7.9,20.8,,5,1.7,6.6,0.128,,2.2,-0.5,1.7,2.3
43,Metta World Peace\artesro01,SF,30,LAL,77,2605,12.1,0.514,0.4,0.251,4.3,9.9,7.1,13.3,2.1,0.6,12.8,16.2,,1.8,3.5,5.3,0.098,,-0.6,1.1,0.5,1.6
44,Al Harrington\harrial01,PF,29,NYK,72,2195,16.8,0.546,0.397,0.308,4.5,16.7,10.5,8.6,1.4,0.9,10.1,26.8,,2.2,1.3,3.5,0.077,,0.8,-1.6,-0.8,0.6
45,Aaron Brooks\brookaa01,PG,25,HOU,82,2919,16,0.549,0.394,0.224,2,6.6,4.2,25.6,1.2,0.3,13.7,25.7,,3.9,1.6,5.5,0.091,,2.3,-1.6,0.7,1.9
46,Sasha Pavlović\pavloal01,SF,26,MIN,71,877,5.4,0.422,0.393,0.087,1.5,13.6,7.5,10,1.3,0.5,14.5,18.1,,-1.5,0.3,-1.2,-0.063,,-5,-1.2,-6.2,-0.9
47,Manu Ginóbili\ginobma01,SG,32,SAS,75,2150,22.5,0.584,0.388,0.393,3.8,11.6,7.7,28.2,2.5,0.8,12.7,25.8,,6.5,3.2,9.7,0.216,,5.1,1.6,6.7,4.7
48,Jamal Crawford\crawfja01,SG,29,ATL,79,2460,18.4,0.573,0.386,0.285,1.6,8,4.8,16.1,1.3,0.4,9.9,25.8,,5.6,1.7,7.3,0.143,,3.5,-1.1,2.4,2.7
49,Danny Granger\grangda01,SF,26,IND,62,2278,19.8,0.564,0.385,0.376,3.2,13.3,8.2,13.6,2,1.6,10.6,28.7,,3.5,2.7,6.2,0.131,,3.1,0,3.1,2.9
50,Goran Dragić\dragigo01,PG,23,PHO,80,1442,14.8,0.566,0.383,0.324,3.2,9.8,6.7,24.1,1.7,0.4,18.3,21.1,,2,0.8,2.8,0.094,,0.8,-0.7,0.1,0.8
51,Dorell Wright\wrighdo01,SF,24,MIA,72,1496,14.5,0.567,0.375,0.165,4,14.4,9.2,9.8,1.9,1.7,10.6,15.8,,2.1,2.2,4.3,0.137,,0.7,1.2,1.8,1.5
52,Matt Barnes\barnema02,SF,29,ORL,81,2097,13.6,0.576,0.372,0.262,6.1,18,12.3,10.1,1.5,1.1,15.3,16.2,,2.5,3.4,5.9,0.135,,-0.1,1.3,1.3,1.7
53,Kirk Hinrich\hinriki01,SG,29,CHI,74,2481,11.6,0.501,0.372,0.15,1.1,10.4,5.8,20.5,1.8,0.7,12.3,16.6,,1.2,2.8,4,0.077,,-1.6,1,-0.5,0.9
54,Wayne Ellington\ellinwa01,SG,22,MIN,76,1384,9.6,0.527,0.362,0.156,2.6,10.4,6.4,8.3,0.7,0.3,13.4,17.4,,0.3,0.1,0.4,0.014,,-1.6,-1.9,-3.5,-0.5
55,Jason Terry\terryja01,SG,32,DAL,77,2540,16.5,0.552,0.358,0.257,0.9,5.4,3.2,18.8,1.9,0.5,8.6,23,,4.4,2.1,6.5,0.123,,1.6,-0.1,1.5,2.2
